"location";"total_robbery";"total_street_robbery";"total_injury";"total_agg_assault";"total_threat";"total_theft";"total_car";"total_from_car";"total_bike";"total_bulgary";"total_fire";"total_arson";"total_damage";"total_graffiti";"total_drugs"
"Alexanderplatz";1450.0;855.0;12330.0;3292.0;2666.0;86265.0;636.0;5733.0;7919.0;1673.0;338.0;131.0;9787.0;3047.0;5472.0
"Tempelhofer Vorstadt";988.0;525.0;6855.0;2004.0;1979.0;46130.0;916.0;5219.0;8908.0;1764.0;353.0;146.0;7117.0;1788.0;2703.0
"Frankfurter Allee Sd FK";1052.0;648.0;7357.0;2507.0;1326.0;34618.0;488.0;2580.0;5713.0;982.0;355.0;134.0;8908.0;2632.0;7206.0
"Schneberg-Nord";1299.0;760.0;6165.0;1731.0;1894.0;39194.0;508.0;3546.0;4704.0;1574.0;275.0;116.0;5133.0;1062.0;2654.0
"Wedding Zentrum";1045.0;560.0;8442.0;2430.0;2599.0;28317.0;411.0;4017.0;3066.0;1487.0;357.0;138.0;5825.0;1199.0;4601.0
"Neukllner Mitte/Zentrum";863.0;412.0;6323.0;1969.0;1818.0;36285.0;429.0;3647.0;2487.0;1083.0;315.0;133.0;5234.0;826.0;1935.0
"Sdliche Friedrichstadt";1038.0;589.0;5475.0;1630.0;1835.0;31270.0;435.0;5308.0;3537.0;1156.0;330.0;108.0;5120.0;815.0;4421.0
"Tempelhof";569.0;250.0;5431.0;1176.0;2340.0;30379.0;997.0;6035.0;3286.0;1145.0;406.0;112.0;6189.0;1394.0;2242.0
"Kurfrstendamm";791.0;368.0;6764.0;1988.0;1339.0;36224.0;364.0;2547.0;1804.0;652.0;82.0;35.0;3003.0;702.0;1297.0
"Moabit Ost";545.0;302.0;5191.0;1264.0;1638.0;28710.0;353.0;3043.0;3239.0;812.0;271.0;97.0;3702.0;589.0;3452.0
"Regierungsviertel";455.0;226.0;3831.0;835.0;1060.0;34798.0;118.0;1957.0;2509.0;356.0;68.0;19.0;3040.0;1036.0;762.0
"Osloer Strae";732.0;378.0;6128.0;1597.0;1917.0;26429.0;323.0;2958.0;2344.0;1184.0;271.0;100.0;3740.0;600.0;2081.0
"Parkviertel";634.0;325.0;5718.0;1418.0;1983.0;24863.0;491.0;4103.0;2628.0;1063.0;255.0;105.0;4278.0;720.0;1556.0
"Schneberg-Sd";471.0;236.0;4373.0;1032.0;1440.0;25410.0;465.0;2888.0;5306.0;1118.0;171.0;71.0;4299.0;1026.0;1716.0
"Brunnenstrae Nord";732.0;367.0;5146.0;1396.0;1655.0;23552.0;584.0;3415.0;2569.0;1136.0;270.0;86.0;4175.0;1079.0;2270.0
